sourceFilename,questionNumber,page,automaticSubtopicId,finalSubtopicId,automaticTopicId,finalTopicId,verdict,action,reviewNote,questionHash,stemExcerpt
analista_de_tecnologia_da_informacao_desenvolvimento_de_software.pdf,36,8,dp26-p3-leg-lai-capitulos,dp26-p3-leg-lai-capitulos,dp26-p3-leg-lai,dp26-p3-leg-lai,PASS,KEEP_AUTO_HIGH_CONFIDENCE,Classificação temática revisada no censo da faixa de alta confiança; nenhum conflito adicional identificado.,e03504ab2e73da8cd367ce5cdf84c14ebaffc84030ba9b723ba5d4a17ab4753d,"A Lei nº 12.527, de 18 de novembro de 2011, dispõe sobre as restrições de acesso à informação. Nesses termos, a lei traz diversos temas que permeiam a classificação da informação. Sobre esse assunto, é correto afirmar que (A) as informações podem ser classificadas como ultrassigilosas, sigilosas ou reservadas, sendo ce"
analista_de_tecnologia_da_informacao_desenvolvimento_de_software.pdf,38,9,dp26-p3-leg-marco-civil-capitulos,dp26-p3-leg-marco-civil-capitulos,dp26-p3-leg-marco-civil,dp26-p3-leg-marco-civil,PASS,KEEP_AUTO_HIGH_CONFIDENCE,Classificação temática revisada no censo da faixa de alta confiança; nenhum conflito adicional identificado.,ca818a7047fcb44dc283e7846fc7f0c8e39cb7f68d5121d1c3194359cf998c39,"A Lei nº 12.965, de 23 de abril de 2014, estabelece princípios, garantias, direitos e deveres para o uso da Internet no Brasil. Ao tratar da proteção aos registros, aos dados pessoais e às comunicações privadas, tal diploma legal positiva sanções específicas para o descumprimento do que prescreve. A respeito disso, é c"
analista_de_tecnologia_da_informacao_desenvolvimento_de_software.pdf,39,9,dp26-p3-leg-lgpd-capitulos,dp26-p3-leg-lgpd-capitulos,dp26-p3-leg-lgpd,dp26-p3-leg-lgpd,PASS,KEEP_AUTO_HIGH_CONFIDENCE,Classificação temática revisada no censo da faixa de alta confiança; nenhum conflito adicional identificado.,373e8e9dcec848bbd831c865af3c32fca6a143d6089da61e0090febb803024c9,"As sanções administrativas estão positivadas na Lei nº 13.709, de 14 de agosto de 2018 (Lei Geral de Proteção de Dados Pessoais - LGPD), em capítulo intitulado de fiscalização. Com relação ao quadro legal sancionatório mencionado, é correto afirmar que (A) é possível a aplicação de sanções sem a formalização de process"
analista_de_tecnologia_da_informacao_desenvolvimento_de_software.pdf,40,9,dp26-p3-leg-lgpd-capitulos,dp26-p3-leg-lgpd-capitulos,dp26-p3-leg-lgpd,dp26-p3-leg-lgpd,PASS,KEEP_AUTO_HIGH_CONFIDENCE,Classificação temática revisada no censo da faixa de alta confiança; nenhum conflito adicional identificado.,f7e79c1dc6e25c91bbd551c0e41080b034b64ff6c146b242d138a1fdf290e547,"A Lei nº 13.709, de 14 de agosto de 2018, trouxe ao ordenamento jurídico duas figuras jurídicas importantes no sistema de proteção de dados pessoais. Sobre o desenho legal da Autoridade Nacional de Proteção de Dados e o Conselho Nacional de Proteção de Dados Pessoais e da Privacidade, é correto afirmar que (A) atualmen"
auditor_de_controle_externo_informatica_analista_de_sistemas.pdf,32,10,dp26-p3-esp-gov-cobit,dp26-p3-esp-gov-cobit,dp26-p3-esp-gestao-governanca,dp26-p3-esp-gestao-governanca,PASS,KEEP_AUTO_HIGH_CONFIDENCE,Classificação temática revisada no censo da faixa de alta confiança; nenhum conflito adicional identificado.,5f911057bec8fce3583c2391009ad4725169722cc0dff1562673a6a5ffd716d7,"Conjuntos de boas práticas, diretrizes e ferramentas de governança e gestão de TI são mapeados por meio de frameworks para auxiliar a implantação de tais instrumentos nas empresas. Um dos principais frameworks na indústria é o COBIT 2019. O principal objetivo do framework COBIT 2019 na governança e gestão de TI é (A) e"
auditor_de_controle_externo_informatica_analista_de_sistemas.pdf,36,10,dp26-p3-esp-gov-bpmn,dp26-p3-esp-gov-bpmn,dp26-p3-esp-gestao-governanca,dp26-p3-esp-gestao-governanca,PASS,KEEP_AUTO_HIGH_CONFIDENCE,Classificação temática revisada no censo da faixa de alta confiança; nenhum conflito adicional identificado.,edbca924ef5897eba79491f47b2bfb55eb0f0aeab38b66f485bd85a56996df4f,"Com base nos conceitos referentes ao Gerenciamento de Processos de Negócio (BPM), analise as afirmativas a seguir. I. O BPMS (Business Process Management System) é um conjunto de símbolos que representam os fluxos dos processos da empresa de forma padronizada para facilitar seu entendimento. II. O BPM é um ciclo contín"
auditor_de_controle_externo_informatica_analista_de_sistemas.pdf,37,11,dp26-p3-esp-gov-itil,dp26-p3-esp-gov-itil,dp26-p3-esp-gestao-governanca,dp26-p3-esp-gestao-governanca,PASS,KEEP_AUTO_HIGH_CONFIDENCE,Classificação temática revisada no censo da faixa de alta confiança; nenhum conflito adicional identificado.,91913a738c9ef513250796c6a55894f99250a767da62b5238e8aef0a6438f9d9,"Considerando a legislação aplicável a licitações de bens e serviços de Tecnologia da Informação e Comunicação (TIC), analise as afirmativas a seguir. I. Um acordo de nível de serviço (ANS), segundo a ITIL v4, é um acordo documentado entre um provedor de serviços de TIC e um cliente que define os serviços a serem presta"
analista_legislativo_desenvolvedor_de_sistemas.pdf,35,11,dp26-p3-esp-linguagens-frameworks,dp26-p3-esp-linguagens-frameworks,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-desenvolvimento-sistemas,PASS,KEEP_AUTO_HIGH_CONFIDENCE,Classificação temática revisada no censo da faixa de alta confiança; nenhum conflito adicional identificado.,3ab1e6f35a0f9f947c801a05ad3da44a797e0471ee29ad3e51f62aa4d773daae,"Os arquitetos de um projeto estão indecisos entre utilizar a tecnologia JavaScript com Node.js ou Java com o framework J2EE. Assinale a opção que compara corretamente os dois utilitários de gerenciamento, NPM (Node.js) e Maven(J2EE). (A) A velocidade de build e gerenciamento de dependências do Maven pode variar mas, ap"
analista_legislativo_desenvolvedor_de_sistemas.pdf,39,12,dp26-p3-esp-frontend,dp26-p3-esp-frontend,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-desenvolvimento-sistemas,PASS,KEEP_AUTO_HIGH_CONFIDENCE,Classificação temática revisada no censo da faixa de alta confiança; nenhum conflito adicional identificado.,b2a910c9bc32efa43c1f14445099f45ba98a0ac840666323d37a8df61ace7626,"Analise o código Javascript a seguir. <!DOCTYPE html> <html> <body> <p id=""demo""></p> <script> let text = '{""Funcionarios"":[' + '{""Nome"":""J."",""Sobrenome"":""Junior"" },' + '{""Nome"":""A."",""Sobrenome"":""Filho"" },' + '{""Nome"":""P."",""Sobrenome"":""Neto"" },'+ '{""Nome"":""L."",""Sobrenome"":""Bisneto"" },'+ '{""Nome"":""P."",""Sobrenome"":""Filha"
analista_legislativo_desenvolvedor_de_sistemas.pdf,55,15,dp26-p3-esp-testes,dp26-p3-esp-testes,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-desenvolvimento-sistemas,PASS,KEEP_AUTO_HIGH_CONFIDENCE,Classificação temática revisada no censo da faixa de alta confiança; nenhum conflito adicional identificado.,a6bc9eec69f58f8923ad77bfc327e93aadeb7a696d38c100d56b626c00868d5e,"O trecho código a seguir mostra um trecho de um sistema de biblioteca digital feita em JAVA e também o código de testes unitários com JUnit para as funções de inserção e remoção. Considerando que a lista de livros da biblioteca esteja vazia, o código de execução de testes unitários testLista garante que a lista de livr"
analista_judiciario_area_apoio_especializado_especialidade_analise_de_sistemas_de_informacao.pdf,41,9,dp26-p3-esp-metricas,dp26-p3-esp-metricas,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-desenvolvimento-sistemas,PASS,KEEP_AUTO_HIGH_CONFIDENCE,Classificação temática revisada no censo da faixa de alta confiança; nenhum conflito adicional identificado.,d634f4a9c01a6423d9ad9b4cc6c20914e5d3f7b067774a0bda0d8be05a465b00,"Dentre as funcionalidades da aplicação Web MeACOMPANHA, os usuários podem, opcionalmente, registrar três telefones, dois endereços físicos e dois endereços de e-mail como informações de contato. Para os usuários que já utilizaram a aplicação, o sistema apresenta as informações de contato cadastradas viabilizando a opçã"
analista_judiciario_area_apoio_especializado_especialidade_analise_de_sistemas_de_informacao.pdf,49,11,dp26-p3-esp-gov-bpmn,dp26-p3-esp-gov-bpmn,dp26-p3-esp-gestao-governanca,dp26-p3-esp-gestao-governanca,PASS,KEEP_AUTO_HIGH_CONFIDENCE,Classificação temática revisada no censo da faixa de alta confiança; nenhum conflito adicional identificado.,260c6a8bebbdda45ea67c88b540bc023a28a934e298d51615b3bd072364aff43,"Cintia elaborou um diagrama BPMN representando diversas atividades que ocorrem em repetição (loopings). Com isso, o diagrama apresenta longas linhas de sequência de fluxos que se cruzam. Para evitar essas longas linhas ao representar repetições em fluxo normal, o tipo de evento intermediário (Intermediate Event Types) "
analista_judiciario_area_apoio_especializado_especialidade_analise_de_sistemas_de_informacao.pdf,56,12,dp26-p3-esp-linguagens-frameworks,dp26-p3-esp-linguagens-frameworks,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-desenvolvimento-sistemas,PASS,KEEP_AUTO_HIGH_CONFIDENCE,Classificação temática revisada no censo da faixa de alta confiança; nenhum conflito adicional identificado.,3069b891fbfd1c94e69c8909315f84673579251b67c0eb4455a2ac6651cb53d4,"O analista Eric foi designado para compatibilizar um antigo projeto de software Java com o recente Spring Boot 3. A versão atual do projeto utiliza Spring Boot 2.1 com Java 8, além de algumas Application Programming Interfaces (APIs) do Java Enterprise Edition (JEE). A fim de atualizar o projeto para o Spring Boot 3 ob"
analista_judiciario_area_apoio_especializado_especialidade_analise_de_sistemas_de_informacao.pdf,58,12,dp26-p3-esp-clean-code-sonarqube,dp26-p3-esp-clean-code-sonarqube,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-desenvolvimento-sistemas,PASS,KEEP_AUTO_HIGH_CONFIDENCE,Classificação temática revisada no censo da faixa de alta confiança; nenhum conflito adicional identificado.,0ce0f7472b092bb1f1c985c77c55bb408af6ee9f5a7ce4c8491e859baea90639,"O analista Jeferson está configurando um projeto no SonarQube. Ao configurar as métricas de código que devem ser monitoradas, Jefferson adicionou ao projeto a métrica que indica o tempo necessário para corrigir todos os code smells presentes no código. Jefferson adicionou ao projeto no SonarQube a métrica: (A) technica"
analista_judiciario_area_apoio_especializado_especialidade_analise_de_sistemas_de_informacao.pdf,61,12,dp26-p3-esp-linguagens-frameworks,dp26-p3-esp-linguagens-frameworks,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-desenvolvimento-sistemas,PASS,KEEP_AUTO_HIGH_CONFIDENCE,Classificação temática revisada no censo da faixa de alta confiança; nenhum conflito adicional identificado.,2cd267cfadc820380dcf0d5042451485e14f03121927aad36039c19806f44e44,"A plataforma Node.js trouxe uma grande revolução em termos da aplicabilidade do Java Script, que agora é utilizado também na implementação de aplicativos servidores. Ele traz uma série de características robustas, como o Event Loop, para gerenciar eventos e operações de entrada e saída na forma assíncrona, e cuja imple"
analista_judiciario_area_apoio_especializado_especialidade_analise_de_sistemas_de_informacao.pdf,74,14,dp26-p3-leg-lgpd-capitulos,dp26-p3-leg-lgpd-capitulos,dp26-p3-leg-lgpd,dp26-p3-leg-lgpd,PASS,KEEP_AUTO_HIGH_CONFIDENCE,Classificação temática revisada no censo da faixa de alta confiança; nenhum conflito adicional identificado.,556904081945827b4554f68cccadf199dec2b45df938db27aa19f143765f206a,"O gerente de recursos humanos está organizando uma atividade institucional que contará com a presença de familiares dos servidores do órgão. Para fins de controle de acesso e organização do evento, será necessário registrar o nome, idade e CPF de todos. Além disso, a atividade contará com o apoio da equipe de marketing"
