sourceFilename,questionNumber,page,automaticSubtopicId,finalSubtopicId,automaticTopicId,finalTopicId,verdict,action,reviewNote,questionHash,stemExcerpt
analista_judiciario_area_administrativa_tecnologia_da_informacao.pdf,32,9,dp26-p3-leg-lgpd-capitulos,dp26-p3-leg-lgpd-capitulos,dp26-p3-leg-lgpd,dp26-p3-leg-lgpd,PASS,KEEP_AUTO_HIGH_CONFIDENCE,Classificação temática revisada no censo da faixa de alta confiança; nenhum conflito adicional identificado.,65e47e1d5aed21100e4e6babce1785836bfc947a43690b281986effcc0b7f58d,"A sociedade empresária Alfa recebeu dados cadastrais de um consumidor. Ato contínuo, decidiu que esses atos seriam avaliados, para determinados fins da atividade empresarial, por João, pessoa natural. Considerando a sistemática estabelecida pela Lei nº 13.709/2018, é correto afirmar que Alfa deve ser considerada (A) co"
analista_judiciario_area_administrativa_tecnologia_da_informacao.pdf,56,13,dp26-p3-esp-padroes-dados-web,dp26-p3-esp-padroes-dados-web,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-desenvolvimento-sistemas,PASS,KEEP_AUTO_HIGH_CONFIDENCE,Classificação temática revisada no censo da faixa de alta confiança; nenhum conflito adicional identificado.,e0e73e5bed15fbb9db0b95ea6b0696f44d8696421c4c1613efdfcf42410968b6,"O SwaggerEditor permite editar e documentar APIs. Em relação ao tema, assinale V para a afirmativa verdadeira e F para a falsa. I. O editor pode ser utilizado online como uma ferramenta web de código aberto ou ser instalada e executada localmente a partir de um servidor. II. A página inicial da versão online é composta"
analista_judiciario_area_administrativa_tecnologia_da_informacao.pdf,57,13,dp26-p3-esp-testes,dp26-p3-esp-testes,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-desenvolvimento-sistemas,PASS,KEEP_AUTO_HIGH_CONFIDENCE,Classificação temática revisada no censo da faixa de alta confiança; nenhum conflito adicional identificado.,29d63c0b68dee4cfa6f0d07d4237a1073ec94a3fc76edb11a6b82bfcab92686f,"Considerando o DevOps e suas boas práticas, analise os itens a seguir: I. Testes integrados são uma parte importante do processo DevOps. Esses testes devem levar em consideração as práticas de Test-Driven Development e Behavior-Driven Development, dessa forma a execução automática desses testes pode ser integrada ao pi"
analista_tecnico_tecnologia_da_informacao.pdf,43,12,dp26-p3-esp-frontend,dp26-p3-esp-frontend,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-desenvolvimento-sistemas,PASS,KEEP_AUTO_HIGH_CONFIDENCE,Classificação temática revisada no censo da faixa de alta confiança; nenhum conflito adicional identificado.,91db08967f195375aef55199451c3eec5742b480da06051e6a4551b47fb8de6a,"No contexto de HTML e JavaScript, na construção function myFunction() { document.getElementById(""xxxx"").submit(); } o elemento xxxx deve identificar: (A) o path completo de um arquivo; (B) um elemento da classe EntryData; (C) um Form object; (D) um link externo; (E) uma página Web."
analista_tecnico_tecnologia_da_informacao.pdf,53,14,dp26-p3-esp-requisitos,dp26-p3-esp-requisitos,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-desenvolvimento-sistemas,PASS,KEEP_AUTO_HIGH_CONFIDENCE,Classificação temática revisada no censo da faixa de alta confiança; nenhum conflito adicional identificado.,47e51094460a0e83d8642c0959e4af548a1cb290943bea26ae687f1836db9ef1,As credenciais de acesso dos usuários de um aplicativo são armazenadas em um banco de dados e são utilizadas unicamente para acesso às funcionalidades do aplicativo. A equipe de desenvolvimento definiu como requisito não funcional que o sistema deve evitar que as senhas sejam obtidas por um invasor mesmo que o aplicati
analista_tecnolo_inform_desenv_tipo_1.pdf,58,12,dp26-p3-esp-metodologias-ageis,dp26-p3-esp-metodologias-ageis,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-desenvolvimento-sistemas,PASS,KEEP_AUTO_HIGH_CONFIDENCE,Classificação temática revisada no censo da faixa de alta confiança; nenhum conflito adicional identificado.,83bfd1dbc434cda7703abc70b3776671d8b86ea2a36f89acc05c07a912bf4b27,"As metodologias ágeis representam um conjunto estruturado de práticas para o desenvolvimento de projetos de sistemas de software de forma iterativa e incremental. Em relação às metodologias ágeis, analise as afirmativas a seguir: I. No Scrum, se um ou mais aspectos de um processo desviou para fora dos limites aceitávei"
analista_tecnolo_inform_desenv_tipo_1.pdf,67,14,dp26-p3-esp-bd-normalizacao,dp26-p3-esp-bd-normalizacao,dp26-p3-esp-banco-dados,dp26-p3-esp-banco-dados,PASS,KEEP_AUTO_HIGH_CONFIDENCE,Classificação temática revisada no censo da faixa de alta confiança; nenhum conflito adicional identificado.,16c4b5317aa61516089c11e7cf707706fb98c7ecb7a370d44ca06f6727ebf07c,"No projeto de bancos de dados relacionais, as dependências funcionais têm um importante papel no processo de normalização. Dependências funcionais podem ser combinadas para a derivação de novas dependências. Considere as seguintes dependências funcionais: A  B A  C B  C B  D A dependência funcional que não pode ser"
analista_judiciario_area_apoio_especializado_tecnologia_da_informacao.pdf,32,8,dp26-p3-esp-padroes-dados-web,dp26-p3-esp-padroes-dados-web,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-desenvolvimento-sistemas,PASS,KEEP_AUTO_HIGH_CONFIDENCE,Classificação temática revisada no censo da faixa de alta confiança; nenhum conflito adicional identificado.,1f29c5be474b2ff7df37f240219457f3743b60005b7b4262c4612405b29fe87f,"Paula e Maria estão avaliando as potencialidades dos usos de JSON e XML no desenvolvimento de aplicações Web para uma grande companhia estatal. As analistas sabem que JSON e XML são duas escolhas muito comuns quando se trata de formatos de dados na Web. A esse respeito, assinale a afirmativa correta. (A) Com relação à "
analista_judiciario_area_apoio_especializado_tecnologia_da_informacao.pdf,37,9,dp26-p3-leg-lgpd-capitulos,dp26-p3-leg-lgpd-capitulos,dp26-p3-leg-lgpd,dp26-p3-leg-lgpd,PASS,KEEP_AUTO_HIGH_CONFIDENCE,Classificação temática revisada no censo da faixa de alta confiança; nenhum conflito adicional identificado.,0186d05f0f13aeaad186abb948e34f96db0bf74ab1f178d0a7f29072c90ff42b,"A Lei nº 13.709/2018 (Lei Geral de Proteção de Dados Pessoais – LGPD) dispõe sobre o tratamento de dados pessoais, inclusive nos meios digitais, por pessoa natural ou por pessoa jurídica de direito público ou privado, com o objetivo de proteger os direitos fundamentais de liberdade e de privacidade e o livre desenvolvi"
analista_judiciario_area_apoio_especializado_tecnologia_da_informacao.pdf,39,9,dp26-p3-esp-testes,dp26-p3-esp-testes,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-desenvolvimento-sistemas,PASS,KEEP_AUTO_HIGH_CONFIDENCE,Classificação temática revisada no censo da faixa de alta confiança; nenhum conflito adicional identificado.,c407e96d5cc1f19f660b2d51e770d0522d3fd9b8f9bfc9079c976e6948d865dd,JUnit 5 é um framework de testes unitários para códigos Java. Ele possui uma arquitetura modular e três subprojetos principais. O subprojeto que fornece uma engine para executar testes baseados em JUnit 3 e JUnit 4 se chama (A) builder. (B) fashion. (C) jupiter. (D) vintage (E) tester.
